Player,Matches,RiP%,RiP W%,RetWnr%,Wnr FH%,RDI,Slice%,1st: RiP%,RiP W%.1,RetWnr%.1,RDI.1,Slice%.1,2nd: RiP%,RiP W%.2,RetWnr%.2,RDI.2,Slice%.2
Thomas Muster,33,72.2%,47.8%,2.5%,40.5%,2.12,22.5%,67.9%,43.4%,1.4%,2.12,29.1%,89.3%,53.4%,4.5%,2.12,10.0%
John Millman,25,68.3%,48.2%,3.7%,55.6%,2.36,15.5%,62.9%,43.9%,2.2%,2.34,20.1%,84.4%,53.8%,6.6%,2.4,8.5%
Miomir Kecmanovic,38,66.6%,46.1%,3.7%,48.6%,2.27,10.3%,61.7%,41.6%,2.3%,2.25,16.2%,85.1%,52.4%,6.9%,2.29,1.9%
Adrian Mannarino,49,65.5%,48.1%,3.7%,39.2%,2.3,21.0%,59.9%,44.7%,2.0%,2.29,30.3%,82.7%,52.6%,7.2%,2.32,7.9%
Martin Klizan,22,67.1%,52.0%,3.5%,40.0%,2.29,14.7%,63.2%,51.0%,3.2%,2.26,22.9%,81.0%,53.3%,4.3%,2.33,3.7%
Leonardo Mayer,20,68.7%,43.6%,3.4%,58.2%,2.25,13.3%,65.6%,40.1%,3.0%,2.23,17.7%,82.4%,49.4%,4.4%,2.28,6.9%
Malek Jaziri,21,65.1%,48.1%,5.0%,61.0%,2.23,9.6%,59.0%,43.6%,2.3%,2.26,15.9%,83.6%,53.9%,10.6%,2.2,3.8%
Milos Raonic,87,63.4%,44.3%,4.0%,44.3%,2.07,28.0%,59.8%,40.0%,3.4%,1.94,37.8%,77.6%,51.3%,5.7%,2.22,16.6%
Alex Corretja,30,73.4%,48.6%,3.6%,57.1%,2.21,19.9%,69.7%,45.2%,2.9%,2.18,30.7%,87.4%,53.0%,5.1%,2.24,8.5%
Joao Sousa,29,66.6%,49.2%,4.7%,58.0%,2.4,9.2%,62.1%,47.6%,3.5%,2.4,14.9%,81.8%,51.2%,7.3%,2.39,1.3%
Kei Nishikori,108,65.2%,52.0%,4.4%,49.7%,2.34,15.4%,60.7%,46.7%,3.1%,2.29,20.9%,80.1%,59.1%,7.1%,2.4,7.4%
Pierre Hugues Herbert,20,58.4%,48.0%,7.5%,37.6%,2.1,14.9%,54.3%,45.9%,6.7%,1.9,19.6%,73.1%,51.1%,10.1%,2.31,9.1%
David Ferrer,113,70.8%,49.2%,2.5%,46.5%,2.3,14.0%,66.5%,44.7%,1.8%,2.25,18.5%,85.4%,55.4%,4.0%,2.36,7.0%
Sergiy Stakhovsky,20,63.8%,45.2%,7.5%,49.1%,2.05,17.3%,58.9%,41.0%,7.2%,1.86,23.9%,82.2%,51.1%,9.2%,2.23,9.6%
Andreas Seppi,29,64.2%,45.7%,3.4%,53.1%,2.24,14.9%,57.6%,42.1%,1.9%,2.17,20.3%,85.7%,50.2%,6.6%,2.33,8.6%
Brandon Nakashima,26,66.5%,46.8%,3.5%,48.7%,2.25,13.5%,61.4%,43.5%,2.6%,2.22,20.8%,82.8%,51.3%,5.6%,2.29,3.5%
Mikhail Kukushkin,22,65.3%,47.6%,5.2%,46.0%,2.37,14.7%,58.7%,45.6%,3.2%,2.37,20.7%,83.7%,50.2%,9.5%,2.38,5.6%
Richard Gasquet,84,70.3%,44.7%,4.1%,43.3%,2.2,14.7%,64.3%,41.3%,2.9%,2.16,19.7%,87.0%,49.0%,6.7%,2.26,7.6%
Feliciano Lopez,64,61.3%,41.6%,5.5%,37.0%,1.98,20.4%,57.4%,38.7%,6.2%,1.85,31.0%,76.1%,45.9%,4.9%,2.09,10.5%
James Blake,25,64.8%,49.9%,4.9%,59.8%,2.07,22.4%,61.3%,45.8%,3.0%,2.02,29.8%,79.1%,56.1%,9.2%,2.13,14.7%
Jeremy Chardy,27,63.1%,45.1%,4.2%,58.6%,2.17,17.5%,59.5%,40.7%,3.5%,2.15,22.8%,75.6%,51.3%,5.9%,2.19,9.6%
Pablo Carreno Busta,60,67.2%,48.0%,3.7%,51.0%,2.34,13.1%,62.5%,42.1%,2.8%,2.3,17.8%,83.4%,55.9%,5.7%,2.4,4.6%
Steve Johnson,29,63.0%,42.8%,4.6%,58.7%,2.29,19.2%,57.9%,38.5%,3.3%,2.26,27.3%,80.5%,48.7%,7.7%,2.33,9.6%
Damir Dzumhur,23,73.2%,47.6%,3.7%,42.2%,2.34,11.5%,69.4%,45.8%,3.1%,2.34,14.6%,87.1%,50.1%,5.2%,2.35,6.0%
Gilles Muller,22,62.5%,40.8%,5.2%,44.1%,2.03,24.3%,59.3%,38.7%,5.4%,1.85,31.8%,73.9%,44.2%,5.3%,2.22,15.6%
Andy Murray,277,73.5%,48.1%,3.5%,58.3%,2.19,18.0%,70.9%,43.5%,2.1%,2.17,26.4%,85.6%,55.0%,6.3%,2.22,8.3%
Mischa Zverev,23,69.8%,48.2%,9.3%,33.1%,2.0,10.6%,66.8%,46.1%,8.0%,1.87,17.3%,82.3%,51.2%,12.7%,2.16,1.8%
Tommy Paul,39,67.0%,46.9%,4.3%,52.0%,2.36,14.2%,62.2%,41.6%,2.8%,2.3,21.4%,83.5%,53.9%,7.4%,2.43,4.5%
Karen Khachanov,75,68.2%,47.1%,2.1%,63.2%,2.27,18.3%,63.7%,42.0%,1.8%,2.2,27.5%,83.9%,54.4%,2.9%,2.36,5.2%
Carlos Moya,37,69.9%,46.1%,2.5%,41.4%,2.11,25.4%,67.0%,40.9%,1.7%,2.08,32.4%,83.5%,52.7%,4.2%,2.13,16.7%
Guido Pella,29,72.5%,48.0%,2.0%,62.5%,2.3,13.9%,68.7%,44.6%,1.0%,2.29,18.9%,89.0%,52.9%,3.9%,2.33,3.7%
Jannik Sinner,116,71.0%,50.8%,2.8%,59.1%,2.21,13.2%,67.8%,47.0%,2.0%,2.2,21.2%,85.1%,56.3%,4.5%,2.22,3.3%
Casper Ruud,116,71.4%,47.3%,3.1%,45.4%,2.25,12.6%,67.9%,42.9%,2.7%,2.25,18.9%,85.4%,53.7%,4.2%,2.25,2.5%
Petr Korda,21,58.6%,53.5%,2.9%,32.8%,2.03,27.0%,53.1%,49.4%,3.1%,1.99,32.1%,78.4%,57.8%,3.3%,2.1,19.6%
Hubert Hurkacz,156,68.3%,45.4%,3.2%,52.0%,2.28,21.5%,65.0%,41.6%,2.6%,2.24,32.5%,82.1%,50.8%,4.7%,2.33,7.9%
Jan Lennard Struff,34,59.7%,49.4%,5.0%,49.6%,2.19,15.4%,54.2%,47.3%,4.6%,2.03,23.5%,77.9%,52.1%,6.4%,2.33,6.9%
Dusan Lajovic,30,71.0%,44.4%,3.8%,44.7%,2.27,9.6%,69.3%,41.2%,3.2%,2.23,12.3%,82.5%,49.4%,5.3%,2.35,4.3%
Nick Kyrgios,120,63.4%,43.9%,3.6%,50.7%,2.17,25.3%,58.0%,40.0%,3.1%,2.12,33.6%,80.7%,49.0%,5.0%,2.23,13.4%
Tim Henman,31,64.0%,47.0%,8.8%,41.0%,1.91,16.5%,60.1%,42.5%,9.4%,1.77,16.5%,78.9%,52.4%,9.1%,2.05,16.6%
Jaume Munar,21,76.7%,45.9%,5.2%,60.2%,2.34,5.8%,77.6%,44.3%,4.1%,2.36,8.8%,86.9%,48.9%,8.4%,2.32,1.1%
Daniel Evans,37,70.8%,48.6%,5.4%,47.3%,2.36,17.1%,66.2%,45.5%,4.4%,2.31,23.7%,86.2%,52.6%,7.7%,2.42,7.6%
Benoit Paire,46,66.6%,48.9%,4.4%,47.1%,2.2,14.5%,66.2%,43.8%,3.5%,2.05,23.9%,76.1%,56.9%,6.7%,2.31,6.7%
Jiri Lehecka,21,63.4%,48.4%,2.7%,51.2%,2.16,15.4%,57.6%,43.8%,2.5%,2.07,24.8%,79.1%,53.8%,3.3%,2.28,0.9%
