player_id,Player,Matches,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP/Match,FHP/100,BHP/Match,BHP/100
92,Damir Dzumhur,23,4.8,4.7,4.9,0.46399999999999997,0.498,0.493,0.49200000000000005,0.431,0.253,0.7,0.7,0.0,0.0
93,Gilles Muller,22,3.2,2.9,3.5,0.501,0.46,0.43200000000000005,0.514,0.526,0.41100000000000003,0.9,1.0,-2.2,-4.6
94,Andy Murray,277,4.7,4.7,4.8,0.517,0.504,0.493,0.495,0.491,0.24100000000000002,7.0,4.6,2.6,2.0
95,Mischa Zverev,23,4.2,3.8,4.5,0.486,0.47,0.47200000000000003,0.526,0.494,0.409,0.7,0.7,1.6,2.7
96,Tommy Paul,39,4.1,4.1,4.1,0.49,0.484,0.527,0.532,0.524,0.113,7.5,5.4,2.0,1.6
97,Karen Khachanov,75,4.2,4.2,4.1,0.516,0.475,0.491,0.512,0.503,0.106,6.0,4.7,0.8,0.7
98,Carlos Moya,37,4.4,4.5,4.3,0.48200000000000004,0.505,0.52,0.48100000000000004,0.599,0.21899999999999997,11.1,6.1,-2.2,-2.3
99,Guido Pella,29,4.8,5.0,4.5,0.5,0.531,0.516,0.473,0.552,0.174,8.4,4.8,0.5,0.4
100,Jannik Sinner,116,4.3,4.4,4.2,0.529,0.511,0.507,0.535,0.505,0.057999999999999996,7.6,5.4,1.5,1.1
101,Casper Ruud,116,4.2,4.3,4.2,0.524,0.522,0.526,0.45899999999999996,0.5589999999999999,0.196,11.4,8.7,0.2,0.2
102,Petr Korda,21,3.3,3.6,2.9,0.469,0.522,0.5589999999999999,0.574,0.48700000000000004,0.292,7.7,6.3,5.3,5.8
103,Hubert Hurkacz,156,3.9,3.6,4.1,0.526,0.48200000000000004,0.465,0.47700000000000004,0.523,0.16,2.3,1.8,-2.0,-2.0
104,Jan Lennard Struff,34,3.2,3.2,3.2,0.49,0.484,0.447,0.542,0.47200000000000003,0.11199999999999999,3.7,4.7,-0.5,-0.6
105,Dusan Lajovic,30,4.4,4.5,4.3,0.473,0.493,0.467,0.435,0.545,0.28800000000000003,6.1,4.3,-1.4,-1.6
106,Nick Kyrgios,120,3.4,3.2,3.6,0.523,0.479,0.44299999999999995,0.461,0.514,0.13,5.2,5.0,-0.2,-0.2
107,Tim Henman,31,3.2,3.1,3.3,0.489,0.49,0.442,0.449,0.48700000000000004,0.631,3.7,4.4,0.5,1.6
108,Jaume Munar,21,4.8,4.9,4.7,0.509,0.474,0.452,0.44,0.502,0.191,3.7,2.4,2.6,1.9
109,Daniel Evans,37,4.3,4.3,4.2,0.499,0.504,0.522,0.527,0.49,0.7509999999999999,8.5,7.6,1.8,6.2
110,Benoit Paire,46,3.4,3.1,3.7,0.489,0.513,0.467,0.424,0.49700000000000005,0.126,-2.2,-2.3,2.0,2.1
111,Jiri Lehecka,21,3.8,3.9,3.7,0.49,0.52,0.48,0.47,0.541,0.14800000000000002,3.6,3.2,-0.8,-0.9
112,Thomaz Bellucci,20,4.1,3.9,4.3,0.48700000000000004,0.523,0.49700000000000005,0.478,0.545,0.085,4.9,3.5,-2.9,-2.5
113,Federico Delbonis,29,4.2,4.3,4.1,0.46299999999999997,0.49700000000000005,0.47,0.462,0.563,0.151,6.2,4.3,-2.9,-3.0
114,Tallon Griekspoor,50,3.6,3.4,3.7,0.507,0.48700000000000004,0.47,0.493,0.544,0.23800000000000002,7.7,6.4,-1.7,-2.2
115,Robin Haase,55,4.1,3.9,4.2,0.504,0.474,0.45899999999999996,0.47200000000000003,0.537,0.36,6.8,5.4,-2.7,-3.7
116,Gilles Simon,67,5.4,6.0,4.9,0.466,0.515,0.53,0.518,0.493,0.03,8.2,4.7,3.8,2.0
117,Aslan Karatsev,35,3.8,3.8,3.7,0.473,0.521,0.581,0.508,0.48700000000000004,0.098,7.6,6.1,2.0,1.6
118,Roberto Bautista Agut,86,4.8,5.2,4.5,0.491,0.52,0.531,0.496,0.515,0.166,10.6,6.9,-1.2,-1.0
119,Marco Cecchinato,26,4.1,3.9,4.4,0.5,0.525,0.491,0.47,0.534,0.249,6.2,4.6,0.2,0.2
120,Jack Sock,27,3.6,3.5,3.8,0.49200000000000005,0.49200000000000005,0.49,0.48100000000000004,0.594,0.314,6.7,6.1,-2.7,-4.9
121,Jim Courier,47,3.7,4.2,3.3,0.512,0.51,0.536,0.483,0.555,0.20800000000000002,11.8,8.0,3.9,4.2
