player_id,Player,Matches,SnV Freq,SnV W%,Net Freq,Net W%,FH Wnr%,FH DTL Wnr%,FH IO Wnr%,BH Wnr%,BH DTL Wnr%,Drop Freq,Drop Wnr%,RallyAgg,ReturnAgg
72,Adrian Mannarino,49,0.017,0.71,0.092,0.6609999999999999,0.071,0.149,0.03,0.07400000000000001,0.12,0.008,0.304,-63,-49
73,Martin Klizan,22,0.049,0.5670000000000001,0.086,0.6,0.135,0.205,0.043,0.083,0.138,0.027000000000000003,0.457,13,19
74,Leonardo Mayer,20,0.042,0.612,0.122,0.6659999999999999,0.161,0.20600000000000002,0.124,0.087,0.281,0.009000000000000001,0.33299999999999996,34,45
75,Malek Jaziri,21,0.016,0.48,0.098,0.725,0.135,0.168,0.109,0.096,0.32299999999999995,0.015,0.218,-16,-18
76,Milos Raonic,87,0.162,0.684,0.17800000000000002,0.6729999999999999,0.182,0.21100000000000002,0.153,0.09699999999999999,0.217,0.003,0.14800000000000002,56,80
77,Alex Corretja,30,0.064,0.696,0.127,0.7140000000000001,0.095,0.107,0.063,0.083,0.221,0.006,0.456,-66,-61
78,Joao Sousa,29,0.002,0.6,0.086,0.731,0.125,0.163,0.075,0.038,0.134,0.004,0.419,-40,-31
79,Kei Nishikori,108,0.027000000000000003,0.626,0.08800000000000001,0.711,0.131,0.185,0.115,0.09300000000000001,0.271,0.012,0.509,-2,-6
80,Pierre Hugues Herbert,20,0.259,0.6709999999999999,0.21899999999999997,0.6940000000000001,0.16899999999999998,0.242,0.07400000000000001,0.08800000000000001,0.222,0.018000000000000002,0.33799999999999997,47,59
81,David Ferrer,113,0.003,0.731,0.092,0.71,0.095,0.11599999999999999,0.065,0.047,0.18899999999999997,0.006999999999999999,0.363,-68,-62
82,Sergiy Stakhovsky,20,0.363,0.665,0.245,0.6759999999999999,0.084,0.11199999999999999,0.04,0.121,0.245,0.031,0.325,-12,15
83,Andreas Seppi,29,0.006999999999999999,0.529,0.061,0.6579999999999999,0.111,0.179,0.077,0.06,0.235,0.011000000000000001,0.447,-33,-27
